campaign_id,campaign_name,campaign_type,objective,start_date,end_date,status,impressions,reach,clicks,link_clicks,spend,ctwa_conversations_meta,active_days,ctwa_conversations,negative_outcomes,orders_created,gross_revenue,delivered_orders,net_revenue,repeat_conversations,repeat_delivered_orders,unique_products_ordered,ads_tested,unique_creatives,frequency,cpm,link_ctr_pct,net_roas,delivered_rate,cost_per_delivered_order,cost_per_ctwa,order_creation_rate,aov,negative_outcome_rate,net_revenue_per_day,ctwa_conversations_per_day,repeat_conversation_rate
120209876543220001,Always-On Premium Acquisition,always_on,OUTCOME_SALES,2025-12-30,2026-06-27,ACTIVE,26091014.0,10169030.0,216260.0,196800.0,140783.91,26855.0,180,111.0,52.0,70.0,79834.0,52.0,63494.0,6.0,2.0,62,6,5,2.5657,5.3959,0.7543,0.451,0.7429,2707.3829,1268.3235,0.6306,1221.0385,0.4685,352.7444,0.6167,0.0541
120209876543220002,Awareness Boost January,awareness,OUTCOME_AWARENESS,2026-01-15,2026-02-14,COMPLETED,1089878.0,636884.0,14321.0,13033.0,5966.66,1621.0,31,4.0,3.0,2.0,1506.0,1.0,1096.0,,,4,1,1,1.7113,5.4746,1.1958,0.1837,0.5,5966.66,1491.665,0.5,1096.0,0.75,35.3548,0.129,0.0
120209876543220003,Pre-Ramadan Bundle Promo,promotional,OUTCOME_LEADS,2026-02-01,2026-02-27,COMPLETED,2872008.0,2042872.0,42322.0,38499.0,13958.72,5426.0,27,46.0,23.0,32.0,39348.0,21.0,25730.0,,,15,3,2,1.4059,4.8603,1.3405,1.8433,0.6562,664.701,303.4504,0.6957,1225.2381,0.5,952.963,1.7037,0.0
120209876543220004,January Trial Bundle Test,experimental,OUTCOME_ENGAGEMENT,2026-01-05,2026-01-31,COMPLETED,532636.0,339194.0,7465.0,6794.0,2817.5,852.0,27,15.0,10.0,8.0,3902.0,5.0,2708.0,,,9,1,1,1.5703,5.2897,1.2755,0.9611,0.625,563.5,187.8333,0.5333,541.6,0.6667,100.2963,0.5556,0.0
120209876543220005,Ramadan Suhoor Specials,seasonal,OUTCOME_SALES,2026-02-28,2026-03-29,COMPLETED,4601950.0,4038656.0,89653.0,81525.0,32293.38,11725.0,30,64.0,23.0,48.0,42537.0,41.0,37313.0,6.0,3.0,21,4,3,1.1395,7.0173,1.7715,1.1554,0.8542,787.6434,504.5841,0.75,910.0732,0.3594,1243.7667,2.1333,0.0938
120209876543220006,Ramadan Iftar Premium Bundles,seasonal,OUTCOME_SALES,2026-02-28,2026-03-29,COMPLETED,8339290.0,6454402.0,135236.0,122984.0,57095.26,19916.0,30,84.0,40.0,70.0,112945.0,42.0,74357.0,11.0,6.0,18,5,3,1.292,6.8465,1.4748,1.3023,0.6,1359.411,679.7055,0.8333,1770.4048,0.4762,2478.5667,2.8,0.131
120209876543220007,Eid Gifting Premium,seasonal,OUTCOME_SALES,2026-03-22,2026-04-05,COMPLETED,2967717.0,2598221.0,47661.0,43344.0,14976.24,6255.0,15,47.0,19.0,41.0,76607.0,28.0,62576.0,8.0,7.0,23,3,2,1.1422,5.0464,1.4605,4.1784,0.6829,534.8657,318.6434,0.8723,2234.8571,0.4043,4171.7333,3.1333,0.1702
120209876543220008,Post-Eid Lookalike Test,experimental,OUTCOME_LEADS,2026-04-05,2026-04-28,COMPLETED,1863544.0,1205985.0,22200.0,16397.0,7762.12,1645.0,24,63.0,29.0,42.0,59888.0,27.0,41433.0,14.0,4.0,23,2,2,1.5452,4.1652,0.8799,5.3378,0.6429,287.4859,123.2083,0.6667,1534.5556,0.4603,1726.375,2.625,0.2222
120209876543220009,Summer Premium Launch,launch,OUTCOME_SALES,2026-04-29,2026-06-27,COMPLETED,14187459.0,8308450.0,178374.0,162229.0,68595.84,21236.0,60,97.0,29.0,77.0,82994.0,64.0,69558.0,31.0,20.0,58,6,5,1.7076,4.835,1.1435,1.014,0.8312,1071.81,707.1736,0.7938,1086.8438,0.299,1159.3,1.6167,0.3196
120209876543220010,Lookalike Scale Cycle 3,scale,OUTCOME_LEADS,2026-04-29,2026-06-15,COMPLETED,6206354.0,3455890.0,77166.0,70189.0,31465.87,9473.0,48,36.0,11.0,27.0,41353.0,23.0,37612.0,8.0,5.0,32,3,3,1.7959,5.0699,1.1309,1.1953,0.8519,1368.0813,874.0519,0.75,1635.3043,0.3056,783.5833,0.75,0.2222
120209876543220011,Mid-Year Sale,promotional,OUTCOME_SALES,2026-05-15,2026-06-05,COMPLETED,3378126.0,2539115.0,54168.0,49270.0,17552.49,7238.0,22,34.0,14.0,30.0,32007.0,20.0,16358.0,10.0,6.0,21,4,3,1.3304,5.1959,1.4585,0.9319,0.6667,877.6245,516.2497,0.8824,817.9,0.4118,743.5455,1.5455,0.2941
120209876543220012,Summer Retention Push,retention,OUTCOME_AWARENESS,2026-06-05,2026-06-27,COMPLETED,1806267.0,1183345.0,24408.0,22208.0,9006.65,3856.0,23,16.0,9.0,10.0,7646.0,7.0,4722.0,4.0,3.0,11,2,1,1.5264,4.9863,1.2295,0.5243,0.7,1286.6643,562.9156,0.625,674.5714,0.5625,205.3043,0.6957,0.25
