conversation_id,campaign_id,prompt_version,schema_version,ad_match_prompt_version,purpose,purchase_intent,specificity,stage,urgency,urgency_elicited_by_agent,price_sensitivity,deal_seeking,financing,delivery_intent,delivery_elicited_by_agent,sales_agreement,stated_exit_reason,next_step_agreed,barrier_count,blocking_barrier,resolved_barrier,competitor_mentioned,value_driver_count,commercial_trait_count,agent_tone_quality,ad_message_match,campaign_name,objective
conv_068,120209876543220008,conversation-signals-v3.2,3,ad-message-match-v1,product_information,low,medium,discovery,none,,unknown,none,none,none,,none,not_stated,True,0,False,False,False,2,1,positive,aligned,Post-Eid Lookalike Test,OUTCOME_LEADS
conv_016,120209876543220010,conversation-signals-v3.2,3,ad-message-match-v1,product_information,low,none,discovery,none,False,interest,none,none,none,False,none,not_stated,False,0,False,False,False,1,0,not_assessable,partial,Lookalike Scale Cycle 3,OUTCOME_LEADS
conv_010,120209876543220002,conversation-signals-v3.2,3,ad-message-match-v1,purchase,high,medium,checkout,none,,unknown,none,none,checkout_details,False,complete,changed_mind,True,1,True,False,False,0,0,positive,mismatch,Awareness Boost January,OUTCOME_AWARENESS
conv_003,120209876543220012,conversation-signals-v3.2,3,ad-message-match-v1,purchase,high,high,checkout,none,False,unknown,none,none,checkout_details,True,complete,not_stated,True,1,False,True,False,0,1,positive,partial,Summer Retention Push,OUTCOME_AWARENESS
conv_006,120209876543220001,conversation-signals-v3.2,3,ad-message-match-v1,product_information,low,low,discovery,none,False,sensitive,none,none,none,,none,price,False,1,False,False,False,1,1,neutral,mismatch,Always-On Premium Acquisition,OUTCOME_SALES
conv_009,120209876543220011,conversation-signals-v3.2,3,ad-message-match-v1,return_or_refund,high,high,post_purchase,high,False,none,none,none,checkout_details,True,complete,changed_mind,True,1,False,False,False,0,1,positive,aligned,Mid-Year Sale,OUTCOME_SALES
conv_001,120209876543220006,conversation-signals-v3.2,3,ad-message-match-v1,purchase,high,high,checkout,high,False,none,none,none,checkout_details,True,partial,not_stated,True,1,True,False,False,0,0,positive,aligned,Ramadan Iftar Premium Bundles,OUTCOME_SALES
conv_123,120209876543220001,conversation-signals-v3.2,3,ad-message-match-v1,purchase,medium,high,consideration,low,False,interest,none,none,none,,none,not_stated,False,0,False,False,False,1,0,positive,aligned,Always-On Premium Acquisition,OUTCOME_SALES
conv_135,120209876543220006,conversation-signals-v3.2,3,ad-message-match-v1,promotion_information,low,none,discovery,none,False,interest,interested,none,none,False,none,not_stated,False,0,False,False,False,1,0,not_assessable,partial,Ramadan Iftar Premium Bundles,OUTCOME_SALES
conv_011,120209876543220001,conversation-signals-v3.2,3,ad-message-match-v1,purchase,high,high,checkout,none,,unknown,unknown,none,readiness,False,complete,unknown,True,1,True,False,False,1,1,positive,aligned,Always-On Premium Acquisition,OUTCOME_SALES
