conversation_id,campaign_id,prompt_version,schema_version,ad_match_prompt_version,purpose,purchase_intent,stage,urgency,price_sensitivity,deal_seeking,delivery_intent,sales_agreement,stated_exit_reason,next_step_agreed,barrier_count,blocking_barrier,resolved_barrier,competitor_mentioned,value_driver_count,ad_message_match,campaign_name,objective
conv_068,120209876543220008,conversation-signals-v2.1,2,ad-message-match-v1,product_information,low,discovery,none,unknown,none,none,none,not_stated,True,0,False,False,False,3,aligned,Post-Eid Lookalike Test,OUTCOME_LEADS
conv_016,120209876543220010,conversation-signals-v2.1,2,ad-message-match-v1,product_information,low,discovery,unknown,interest,none,none,none,not_stated,,0,False,False,False,0,partial,Lookalike Scale Cycle 3,OUTCOME_LEADS
conv_010,120209876543220002,conversation-signals-v2.1,2,ad-message-match-v1,purchase,high,checkout,none,none,none,checkout_details,complete,chose_alternative,True,0,False,False,False,0,partial,Awareness Boost January,OUTCOME_AWARENESS
conv_003,120209876543220012,conversation-signals-v2.1,2,ad-message-match-v1,purchase,medium,consideration,unknown,none,none,readiness,unknown,not_stated,,1,False,True,False,0,partial,Summer Retention Push,OUTCOME_AWARENESS
conv_006,120209876543220001,conversation-signals-v2.1,2,ad-message-match-v1,product_information,low,consideration,none,blocking,none,none,none,price,False,1,True,False,False,1,mismatch,Always-On Premium Acquisition,OUTCOME_SALES
conv_009,120209876543220011,conversation-signals-v2.1,2,ad-message-match-v1,return_or_refund,high,post_purchase,low,none,none,checkout_details,complete,changed_mind,,0,False,False,False,0,partial,Mid-Year Sale,OUTCOME_SALES
conv_001,120209876543220006,conversation-signals-v2.1,2,ad-message-match-v1,purchase,medium,consideration,high,none,none,none,none,not_stated,True,1,True,False,False,0,aligned,Ramadan Iftar Premium Bundles,OUTCOME_SALES
conv_123,120209876543220001,conversation-signals-v2.1,2,ad-message-match-v1,purchase,medium,consideration,low,interest,none,none,none,not_stated,,0,False,False,False,1,aligned,Always-On Premium Acquisition,OUTCOME_SALES
conv_135,120209876543220006,conversation-signals-v2.1,2,ad-message-match-v1,promotion_information,low,discovery,none,interest,interested,none,none,not_stated,,0,False,False,False,0,partial,Ramadan Iftar Premium Bundles,OUTCOME_SALES
conv_011,120209876543220001,conversation-signals-v2.1,2,ad-message-match-v1,return_or_refund,high,post_purchase,none,none,none,readiness,complete,product_fit,True,1,True,False,False,1,aligned,Always-On Premium Acquisition,OUTCOME_SALES
