conversation_id,campaign_id_baseline,schema_version_baseline,prompt_version_baseline,purpose_baseline,purchase_intent_baseline,urgency_baseline,price_sensitivity_baseline,deal_seeking_baseline,delivery_intent_baseline,sales_agreement_baseline,conversation_stage_baseline,agent_helpfulness_baseline,ad_message_match_baseline,specificity_baseline,financing_baseline,urgency_elicited_by_agent_baseline,delivery_elicited_by_agent_baseline,agent_tone_quality_baseline,commercial_traits_baseline,campaign_id_candidate,schema_version_candidate,prompt_version_candidate,purpose_candidate,purchase_intent_candidate,urgency_candidate,price_sensitivity_candidate,deal_seeking_candidate,delivery_intent_candidate,sales_agreement_candidate,conversation_stage_candidate,agent_helpfulness_candidate,ad_message_match_candidate,specificity_candidate,financing_candidate,urgency_elicited_by_agent_candidate,delivery_elicited_by_agent_candidate,agent_tone_quality_candidate,commercial_traits_candidate
conv_068,120209876543220008,2,conversation-signals-v2.1,product_information,low,none,unknown,none,none,none,discovery,good,aligned,unknown,unknown,,,not_assessable,,120209876543220008,3,conversation-signals-v3.2,product_information,low,none,unknown,none,none,none,discovery,good,aligned,medium,none,,,positive,feature_priority
conv_016,120209876543220010,2,conversation-signals-v2.1,product_information,low,unknown,interest,none,none,none,discovery,not_assessable,partial,unknown,unknown,,,not_assessable,,120209876543220010,3,conversation-signals-v3.2,product_information,low,none,interest,none,none,none,discovery,not_assessable,partial,none,none,False,False,not_assessable,
conv_010,120209876543220002,2,conversation-signals-v2.1,purchase,high,none,none,none,checkout_details,complete,checkout,good,partial,unknown,unknown,,,not_assessable,,120209876543220002,3,conversation-signals-v3.2,purchase,high,none,unknown,none,checkout_details,complete,checkout,strong,mismatch,medium,none,,False,positive,
conv_003,120209876543220012,2,conversation-signals-v2.1,purchase,medium,unknown,none,none,readiness,unknown,consideration,good,partial,unknown,unknown,,,not_assessable,,120209876543220012,3,conversation-signals-v3.2,purchase,high,none,unknown,none,checkout_details,complete,checkout,good,partial,high,none,False,True,positive,feature_priority
conv_006,120209876543220001,2,conversation-signals-v2.1,product_information,low,none,blocking,none,none,none,consideration,good,mismatch,unknown,unknown,,,not_assessable,,120209876543220001,3,conversation-signals-v3.2,product_information,low,none,sensitive,none,none,none,discovery,good,mismatch,low,none,False,,neutral,feature_priority
conv_009,120209876543220011,2,conversation-signals-v2.1,return_or_refund,high,low,none,none,checkout_details,complete,post_purchase,strong,partial,unknown,unknown,,,not_assessable,,120209876543220011,3,conversation-signals-v3.2,return_or_refund,high,high,none,none,checkout_details,complete,post_purchase,strong,aligned,high,none,False,True,positive,bulk_purchase_interest
conv_001,120209876543220006,2,conversation-signals-v2.1,purchase,medium,high,none,none,none,none,consideration,adequate,aligned,unknown,unknown,,,not_assessable,,120209876543220006,3,conversation-signals-v3.2,purchase,high,high,none,none,checkout_details,partial,checkout,good,aligned,high,none,False,True,positive,
conv_123,120209876543220001,2,conversation-signals-v2.1,purchase,medium,low,interest,none,none,none,consideration,strong,aligned,unknown,unknown,,,not_assessable,,120209876543220001,3,conversation-signals-v3.2,purchase,medium,low,interest,none,none,none,consideration,good,aligned,high,none,False,,positive,
conv_135,120209876543220006,2,conversation-signals-v2.1,promotion_information,low,none,interest,interested,none,none,discovery,not_assessable,partial,unknown,unknown,,,not_assessable,,120209876543220006,3,conversation-signals-v3.2,promotion_information,low,none,interest,interested,none,none,discovery,not_assessable,partial,none,none,False,False,not_assessable,
conv_011,120209876543220001,2,conversation-signals-v2.1,return_or_refund,high,none,none,none,readiness,complete,post_purchase,strong,aligned,unknown,unknown,,,not_assessable,,120209876543220001,3,conversation-signals-v3.2,purchase,high,none,unknown,unknown,readiness,complete,checkout,strong,aligned,high,none,,False,positive,feature_priority
